ID_Venda,Data_Venda,Vendedor,Valor_Total
VND-2024-001,14/02/2024,Carlos,2806
VND-2024-002,05/03/2024,João,265
VND-2024-003,05/04/2024,Maria,3047
VND-2024-004,14/02/2024,Carlos,2717
VND-2024-005,16/02/2024,Carlos,1996
VND-2024-006,02/02/2024,Maria,163
VND-2024-007,12/03/2024,Carlos,2312
VND-2024-008,07/10/2024,João,2241
VND-2024-009,09/05/2024,João,2877
VND-2024-010,13/08/2024,João,2553
VND-2024-011,03/06/2024,Maria,1095
VND-2024-012,07/01/2024,Carlos,2394
VND-2024-013,25/07/2024,Carlos,2635
VND-2024-014,09/08/2024,Maria,1552
VND-2024-015,31/05/2024,João,1290
VND-2024-016,21/11/2024,Maria,3251
VND-2024-017,01/06/2024,Carlos,2800
VND-2024-018,20/11/2024,João,2652
VND-2024-019,17/11/2024,Maria,2459
VND-2024-020,27/11/2024,Carlos,2197
VND-2024-021,05/04/2024,Maria,2265
VND-2024-022,03/09/2024,Maria,1292
VND-2024-023,19/01/2024,Ana,799
VND-2024-024,13/01/2024,Maria,2382
VND-2024-025,26/07/2024,Carlos,767
VND-2024-026,13/09/2024,Carlos,2880
VND-2024-027,18/08/2024,Maria,1956
VND-2024-028,18/07/2024,Maria,3407
VND-2024-029,08/01/2024,João,587
VND-2024-030,11/01/2024,Carlos,2532
VND-2024-031,22/12/2024,João,2564
VND-2024-032,16/02/2024,Carlos,1027
VND-2024-033,06/04/2024,João,1124
VND-2024-034,06/09/2024,João,193
VND-2024-035,18/10/2024,Ana,2438
VND-2024-036,18/04/2024,Ana,584
VND-2024-037,05/10/2024,Maria,1357
VND-2024-038,12/10/2024,Ana,1241
VND-2024-039,15/10/2024,Carlos,2983
VND-2024-040,20/09/2024,Ana,2110
VND-2024-041,04/05/2024,Carlos,700
VND-2024-042,02/02/2024,Ana,1009
VND-2024-043,23/01/2024,João,2462
VND-2024-044,14/01/2024,Carlos,2277
VND-2024-045,31/03/2024,Maria,680
VND-2024-046,12/12/2024,Carlos,1642
VND-2024-047,22/09/2024,João,1866
VND-2024-048,03/07/2024,Ana,1610
VND-2024-049,11/03/2024,Maria,1072
VND-2024-050,11/10/2024,Ana,2298
VND-2024-051,03/04/2024,Carlos,1398
VND-2024-052,30/11/2024,João,1298
VND-2024-053,08/08/2024,Carlos,2815
VND-2024-054,11/09/2024,Ana,258
VND-2024-055,30/04/2024,Ana,1793
VND-2024-056,15/11/2024,Ana,450
VND-2024-057,31/07/2024,Carlos,3354
VND-2024-058,28/10/2024,Carlos,2067
VND-2024-059,10/10/2024,Carlos,530
VND-2024-060,09/03/2024,Ana,1042
VND-2024-061,10/06/2024,Maria,801
VND-2024-062,09/06/2024,Carlos,1760
VND-2024-063,08/09/2024,Ana,2224
VND-2024-064,11/07/2024,Carlos,1230
VND-2024-065,01/01/2024,Carlos,1736
VND-2024-066,16/09/2024,Maria,1971
VND-2024-067,16/04/2024,Carlos,3253
VND-2024-068,03/12/2024,Maria,1188
VND-2024-069,13/07/2024,João,1542
VND-2024-070,30/11/2024,João,2354
VND-2024-071,29/05/2024,Ana,2585
VND-2024-072,25/06/2024,Ana,1157
VND-2024-073,14/06/2024,Ana,816
VND-2024-074,22/06/2024,Ana,1094
VND-2024-075,08/11/2024,Carlos,3187
VND-2024-076,20/09/2024,João,880
VND-2024-077,08/02/2024,João,1356
VND-2024-078,21/11/2024,Carlos,949
VND-2024-079,14/05/2024,Ana,2824
VND-2024-080,03/05/2024,Ana,1925
VND-2024-081,21/06/2024,Ana,522
VND-2024-082,11/06/2024,Carlos,2870
VND-2024-083,26/06/2024,Maria,1973
VND-2024-084,23/11/2024,Maria,1805
VND-2024-085,19/11/2024,Maria,2829
VND-2024-086,13/05/2024,Ana,2344
VND-2024-087,22/01/2024,João,1333
VND-2024-088,07/04/2024,Carlos,2142
VND-2024-089,02/12/2024,Carlos,3174
VND-2024-090,24/02/2024,João,193
VND-2024-091,16/10/2024,Carlos,469
VND-2024-092,31/01/2024,Ana,3075
VND-2024-093,31/08/2024,Carlos,230
VND-2024-094,25/11/2024,Maria,957
VND-2024-095,19/12/2024,Ana,653
VND-2024-096,27/05/2024,João,3161
VND-2024-097,24/07/2024,Maria,2054
VND-2024-098,20/11/2024,Maria,1648
VND-2024-099,11/02/2024,Carlos,3157
VND-2024-100,19/01/2024,Maria,682
VND-2024-101,15/06/2024,Carlos,322
VND-2024-102,04/06/2024,Maria,893
VND-2024-103,10/07/2024,João,3276
VND-2024-104,03/09/2024,João,1827
VND-2024-105,02/12/2024,Maria,2353
VND-2024-106,19/02/2024,Ana,745
